id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,toxic,severe_toxic,subjectivity
1.36E+18,1.36E+18,2021-02-04 06:46:49 Malay Peninsula Standard Time,4/2/2021,6:46:49,800,718446109,heyhildennn97,Triss Merigold,,💫💫💫Mercurys in Retrograde so just tell everyone to fuck off whos bothering you and stop being anxious bitch youre gorgeous fuckin BREATHE 💫💫💫,en,[],[],[],0,0,0,[],[],https://twitter.com/HeyHildennn97/status/1357098244241838081,FALSE,,0,,,,,,,,[],,,,,1,0,1
1.36E+18,1.36E+18,2021-02-05 02:27:18 Malay Peninsula Standard Time,5/2/2021,2:27:18,800,1.12E+18,savagexrose,SAVAGE x ROSE,,"“But goddess $50 is too much for tribute” okay then you broke bitch. Get my OF and fuck off 🙄🤢  Findom, finsub",en,[],[],[],0,0,1,[],[],https://twitter.com/savagexrose/status/1357395321710645250,FALSE,,0,,,,,,,,[],,,,,1,0,1
1.36E+18,1.36E+18,2021-02-06 08:42:27 Malay Peninsula Standard Time,6/2/2021,8:42:27,800,14216456,brendantech,🦊,,"@LilyJayne18 @GiancarloPoledd @FatEmperor @charlottechuck1 @gerrard1212 @NickHudsonCT @hommel_b @JornLuka @mariannezw @MichaelYeadon3 Yes, if you don’t wear a mask you’ll die and go to hell. Probably true because we’re not far from it 😝",en,[],[],[],0,0,0,[],[],https://twitter.com/brendantech/status/1357852119206944770,FALSE,,0,,,,,,,,"[{'screen_name': 'LilyJayne18', 'name': 'AmericanJayne😊', 'id': '1340813285692739587'}, {'screen_name': 'GiancarloPoledd', 'name': 'Giancarlo Poledda', 'id': '796151911'}, {'screen_name': 'FatEmperor', 'name': 'Ivor Cummins', 'id': '2383882980'}, {'screen_name': 'charlottechuck1', 'name': '🌷fräulein charliechucknorris VIII🍎🌻🐾🇬🇧 🇺🇲', 'id': '1145001245914144768'}, {'screen_name': 'gerrard1212', 'name': 'Tom Corbett', 'id': '182086578'}, {'screen_name': 'NickHudsonCT', 'name': 'Nick Hudson', 'id': '1055641334063751169'}, {'screen_name': 'hommel_b', 'name': 'Jan B. Hommel - alias @the_stinging', 'id': '1310509382107570176'}, {'screen_name': 'JornLuka', 'name': 'Jorn Luka', 'id': '169956408'}, {'screen_name': 'mariannezw', 'name': 'Marianne Zwagerman', 'id': '47743604'}, {'screen_name': 'MichaelYeadon3', 'name': 'Yardley Yeadon', 'id': '1052630676736901120'}]",,,,,1,0,1
1.36E+18,1.36E+18,2021-02-04 01:24:02 Malay Peninsula Standard Time,4/2/2021,1:24:02,800,1.07E+18,flashinghannah,hannaH,,"first off, this mom is a fucking bitch for being like “yo what’s wrong?” And then being like “fuck your problems. Anyways, I’m making cookies.”",en,[],[],[],1,1,1,[],[],https://twitter.com/flashinghannah/status/1357017011684057088,FALSE,https://twitter.com/JustChefMack/status/1356676710079553536,0,,,,,,,,[],,,,,1,0,1
1.36E+18,1.36E+18,2021-02-06 14:30:59 Malay Peninsula Standard Time,6/2/2021,14:30:59,800,7.73E+17,_whostolemymeat,Whore,,Autobots roll out,en,[],[],[],0,0,1,[],[],https://twitter.com/_whostolemymeat/status/1357939828961206272,FALSE,https://twitter.com/kxng_j0/status/1357542185349087232,0,,,,,,,,[],,,,,0,0,0
1.36E+18,1.36E+18,2021-02-06 14:09:32 Malay Peninsula Standard Time,6/2/2021,14:09:32,800,1.27E+18,psychhpearr,Full-Fledged Attention Whore,,@natpat6996 YES! A CHOCOLATE FROG (it’s not an actual frog tho skjdbdjdks) i haven’t talked to you in awhile! hru?  https://t.co/1yheIYiBot,en,[],[],['https://pbs.twimg.com/media/EthaJ-cVcAAqvC_.jpg'],1,0,1,[],[],https://twitter.com/PsychhPearr/status/1357934433278414851,FALSE,,1,https://pbs.twimg.com/media/EthaJ-cVcAAqvC_.jpg,,,,,,,"[{'screen_name': 'natpat6996', 'name': 'Natalie ⌨🖱📹', 'id': '1277177982923276288'}]",,,,,0,0,0
1.36E+18,1.36E+18,2021-02-06 14:27:55 Malay Peninsula Standard Time,6/2/2021,14:27:55,800,479896527,boy_wtfyouwant,Pending,,Tired of all of this stupid shit,en,[],[],[],0,0,0,[],[],https://twitter.com/boy_wtfyouwant/status/1357939056592760835,FALSE,,0,,,,,,,,[],,,,,0,0,1
1.36E+18,1.36E+18,2021-02-06 00:33:07 Malay Peninsula Standard Time,6/2/2021,0:33:07,800,38874482,sarkittymcmeow,⏳,,Ok that dental.... cleaning person...? I haven't had coffee so the name is escaping me... but that bitch fucked up my mouth. It was like she gets off on fucking up someone's mouth. She told me to take Advil when I get home??? ALL I HAD WAS A CLEANING!!!!!!!! THE FUCK!?,en,[],[],[],3,0,0,[],[],https://twitter.com/SarKittyMcMeow/status/1357728973149540352,FALSE,,0,,,,,,,,[],,,,,1,1,1
1.36E+18,1.36E+18,2021-02-06 14:26:00 Malay Peninsula Standard Time,6/2/2021,14:26:00,800,1.08E+18,moonch_ford,настя☆moonchild ford,,@stupid_bois езжай в Европу резать трупы 🙂 ну или в США,ru,[],[],[],0,0,0,[],[],https://twitter.com/moonch_ford/status/1357938577775198208,FALSE,,0,,,,,,,,"[{'screen_name': 'stupid_bois', 'name': 'бездомноплодилка', 'id': '1355586262820859906'}]",,,,,1,0,1
1.36E+18,1.36E+18,2021-02-04 01:09:03 Malay Peninsula Standard Time,4/2/2021,1:09:03,800,395481755,kendawwwg_,FUCK YOU TALMMAT 🗣,,I can fuck a Bitch just off my name she better Catch a Cab ✌🏾,en,[],[],[],0,0,0,[],[],https://twitter.com/Kendawwwg_/status/1357013241680060418,FALSE,https://twitter.com/kendawwwg_/status/1357012883725500421,0,,,,,,,,[],,,,,1,0,1
